"id_curso";"nome";"id_coordenador";"coordenador";"situacao_curso";"nivel_ensino";"grau_academico";"modalidade_educacao";"area_conhecimento";"tipo_oferta";"turno";"tipo_ciclo_formacao";"municipio";"campus";"id_unidade_responsavel";"unidade_responsavel";"website";"data_funcionamento";"codigo_inep";"dou";"portaria_reconhecimento";"convenio_academico"
"94598200";"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS";"5757908";"TANIRO CHACON RODRIGUES";"ATIVO";"GRADUAÇÃO";"TECNOLÓGICO";"Presencial";"Outra";"Anual";"";"Um ciclo";"MACAÍBA";"";"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"";"";"1188193";"2015-12-24";"Portaria nº 1034/2015 - DIREG/MEC";""
"106660409";"ANÁLISES CLÍNICAS";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"117";"DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS";"";"";"";"";"";""
"118076413";"ANÁLISES CLÍNICAS E MEDICAMENTOS";"24386";"TELMA MARIA ARAUJO MOURA LEMOS";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"117";"DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS";"";"";"";"";"";""
"123041053";"ANÁLISES CLÍNICAS E MEDICAMENTOS";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"117";"DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS";"";"";"";"";"";""
"97262498";"ANÁLISES CLÍNICAS E TOXICOLÓGICAS";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"117";"DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS";"";"";"";"";"";""
"5049081";"ANDRÉ DE MATTOS MARQUES";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"160";"DEPARTAMENTO DE ECONOMIA - DEPEC";"";"";"";"";"";""
"124895528";"APERFEIÇOAMENTO EM GESTÃO DE POLÍTICA DE DST AIDS HEPATITES VIRAIS E TUBERCULOSE";"";"";"";"LATO SENSU";"";"A Distância";"";"";"";"";"";"";"409";"NÚCLEO DE ESTUDOS EM SAÚDE COLETIVA";"";"";"";"";"";""
"124347948";"AROMATERAPIA";"26231";"HYLARINA MARIA MONTENEGRO DINIZ SILVA";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"198";"DEPARTAMENTO DE ENFERMAGEM";"";"";"";"";"";""
"95771235";"ARQUEOLOGIA DO NORDESTE BRASILEIRO";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"141";"DEPARTAMENTO DE HISTÓRIA";"";"";"";"";"";""
"96076672";"ARQUITETURA DE NUVEM";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"161";"DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD";"";"";"";"";"";""
"2000005";"ARQUITETURA E URBANISMO";"5756800";"GLAUCE LILIAN ALVES DE ALBUQUERQUE";"ATIVO";"GRADUAÇÃO";"BACHARELADO";"Presencial";"Engenharias";"Regular";"Matutino, Vespertino e Noturno";"Um ciclo";"NATAL";"Campus Central";"445";"CENTRO DE TECNOLOGIA";"";"1973-08-13";"12343";"2015-12-30";"Portaria nº 1098/2015 - DIREG/MEC";""
"2000123";"ARTES VISUAIS";"5756888";"LAIS GUARALDO";"ATIVO";"GRADUAÇÃO";"LICENCIATURA";"Presencial";"Linguística, Letras e Artes";"Regular";"Matutino e Vespertino";"Um ciclo";"NATAL";"Campus Central";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"";"1977-03-03";"95667";"2015-12-30";"Portaria nº 1098 - DIREG/MEC";""
"4878604";"ARTETERAPIA E EDUCAÇÃO DO SER";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"NATAL";"";"363";"PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO";"";"";"";"";"";""
"3578460";"ARTETERAPIA E EDUCAÇÃO DO SER";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"NATAL";"";"363";"PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO";"";"";"";"";"";""
"20367570";"ASPECTOS PRÁTICOS DO DIREITO PROCESSUAL";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"404";"PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO";"";"";"";"";"";""
"114762632";"ATENÇÃO BÁSICA COM ÊNFASE NA ESTRATÉGIA SAÚDE DA FAMÍLIA";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"205";"ESCOLA DE SAÚDE";"";"";"";"";"";""
"99413191";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO NA PERSPECTIVA DA EDUCAÇÃO INCLUSIVA";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"363";"PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO";"";"";"";"";"";""
"101359674";"AUDIOLOGIA";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"5610";"DEPARTAMENTO DE FONOAUDIOLOGIA";"";"";"";"";"";""
"97598424";"AUDITORIA E CONTROLADORIA";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"395";"PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS CONTÁBEIS";"";"";"";"";"";""
"116474785";"AUDITORIA E CONTROLADORIA CONTÁBIL";"2301337";"ERIVAN FERREIRA BORGES";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"9066";"PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS CONTÁBEIS";"";"";"";"";"";""
"87272466";"AUDITORIA E CONTROLES";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"395";"PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS CONTÁBEIS";"";"";"";"";"";""
"127931091";"AUDITORIA EM SAUDE";"5757138";"THEO DUARTE DA COSTA";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"205";"ESCOLA DE SAÚDE";"";"";"";"";"";""
"126946116";"AUDITORIA EM SAÚDE";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"205";"ESCOLA DE SAÚDE";"";"";"";"";"";""
"89558214";"AUDITORIA GOVERNAMENTAL";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"163";"DEPARTAMENTO DE CIÊNCIAS CONTÁBEIS - DCC";"";"";"";"";"";""
"91384307";"AUTOMAÇÃO DE PROCESSOS INDUSTRIAIS";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"56";"DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO";"";"";"";"";"";""
"105643188";"AUTOMAÇÃO DE PROCESSOS INDUSTRIAIS";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"56";"DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO";"";"";"";"";"";""
"97605099";"AVALIAÇÃO E INTERVENÇÃO FISIOTERAPÊUTICA NA ÁREA MATERNO INFANTIL";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"201";"DEPARTAMENTO DE FISIOTERAPIA";"";"";"";"";"";""
"9291230";"Avaliação psicológica da personalidade";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"NATAL";"";"143";"DEPARTAMENTO DE PSICOLOGIA";"";"";"";"";"";""
"50659936";"BASES FISIOLÓGICAS PARA AVALIAÇÃO E PRESCRIÇÃO DE EXERCÍCIOS FÍSICOS";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"199";"DEPARTAMENTO DE EDUCAÇÃO FÍSICA";"";"";"";"";"";""
"95739909";"BASES FISIOLÓGICAS PARA AVALIAÇÃO E PRESCRIÇÃO DE EXERCÍCIOS FÍSICOS";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"199";"DEPARTAMENTO DE EDUCAÇÃO FÍSICA";"";"";"";"";"";""
"95740299";"BASES FISIOLÓGICAS PARA AVALIAÇÃO E PRESCRIÇÃO DE EXERCÍCIOS FÍSICOS - II";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"199";"DEPARTAMENTO DE EDUCAÇÃO FÍSICA";"";"";"";"";"";""
"2000006";"BIBLIOTECONOMIA";"23920";"LUCIANA DE ALBUQUERQUE MOREIRA";"ATIVO";"GRADUAÇÃO";"BACHARELADO";"Presencial";"Ciências Sociais Aplicadas";"Regular";"Vespertino";"Um ciclo";"NATAL";"Campus Central";"443";"CENTRO DE CIÊNCIAS SOCIAIS APLICADAS";"http://sol.ccsa.ufrn.br/ccsa/areas/biblio/biblioteconomia/";"1977-03-03";"18393";"2017-06-26";"Portaria nº 628/2017 - MEC";""
"118173593";"BIG DATA";"5755871";"IVANOVITCH MEDEIROS DANTAS DA SILVA";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"6069";"INSTITUTO METROPOLE DIGITAL";"";"";"";"";"";""
"125323179";"BIOLOGIA MOLECULAR APLICADA A SAUDE HUMANA";"26212";"ADRIANA AUGUSTO DE REZENDE";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"366";"PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS FARMACÊUTICAS";"";"";"";"";"";""
"105720615";"BIOLOGIA MOLECULAR APLICADA SAÚDE HUMANA";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"366";"PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS FARMACÊUTICAS";"";"";"";"";"";""
"100097561";"BIOLOGIA MOLECULAR - DIAGNOSTICO MOLECULAR DE DOENCAS HUMANAS";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"366";"PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS FARMACÊUTICAS";"";"";"";"";"";""
"2000122";"BIOMEDICINA";"5752642";"VANIA SOUSA ANDRADE";"ATIVO";"GRADUAÇÃO";"BACHARELADO";"Presencial";"Ciências Biológicas";"Regular";"Matutino, Vespertino e Noturno";"Um ciclo";"NATAL";"Campus Central";"440";"CENTRO DE BIOCIÊNCIAS";"";"2003-03-31";"60288";"2015-01-02";"Portaria nº 824/2014 - DIREG/MEC";""
"95197392";"BIOTERISMO E EXPERIMENTAÇÃO COM ANIMAIS";"";"";"ATIVO";"LATO SENSU";"";"Semi-Presencial";"";"";"";"";"";"";"192";"DEPARTAMENTO DE CIRURGIA";"";"";"";"";"";""
"100665439";"CAPACITAÇÃO PARA A GESTÃO DA ASSISTÊNCIA FARMACÊUTICA EAD: ESPECIALIZAÇÃO, APE";"";"";"ATIVO";"LATO SENSU";"";"A Distância";"";"";"";"";"";"";"196";"DEPARTAMENTO DE FARMACIA";"";"";"";"";"";""
"2000013";"CIÊNCIA DA COMPUTAÇÃO";"5755388";"CARLOS AUGUSTO PROLO";"ATIVO";"GRADUAÇÃO";"BACHARELADO";"Presencial";"Ciências Exatas e da Terra";"Regular";"Matutino e Vespertino";"Um ciclo";"NATAL";"Campus Central";"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA";"http://www.dimap.ufrn.br/ccc.html";"1987-03-01";"12313";"2015-12-30";"Portaria nº 1098/2015 - DIREG/MEC";""
"6633741";"CIÊNCIAS ATUARIAIS";"5752696";"LUANA JUNQUEIRA DIAS MYRRHA";"ATIVO";"GRADUAÇÃO";"BACHARELADO";"Presencial";"Ciências Exatas e da Terra";"Regular";"";"Um ciclo";"NATAL";"";"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA";"";"";"116514";"2013-12-30";"Portaria nº 735/2013 - MEC";""
"98708953";"CIÊNCIAS ATUARIAIS E DEMOGRAFIA";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"5570";"PROGRAMA DE PÓS-GRADUAÇÃO EM DEMOGRAFIA";"";"";"";"";"";""
"111635035";"CIÊNCIAS BIOLÓGICAS";"26317";"RENATA SWANY SOARES DO NASCIMENTO";"ATIVO";"GRADUAÇÃO";"LICENCIATURA";"Presencial";"Ciências Biológicas";"Regular";"Matutino, Vespertino e Noturno";"Um ciclo";"NATAL";"Campus Central";"440";"CENTRO DE BIOCIÊNCIAS";"http://www.cb.ufrn.br/conteudo/cursos/biologia/biologia.htm";"1970-02-23";"312332";"2015-12-30";"Portaria nº 1098/2015 - DIREG/MEC";""
"9295710";"CIÊNCIAS BIOLÓGICAS";"2305973";"NAISANDRA BEZERRA DA SILVA FARIAS";"ATIVO";"GRADUAÇÃO";"LICENCIATURA";"A Distância";"Ciências Biológicas";"Regular";"";"";"NATAL";"";"440";"CENTRO DE BIOCIÊNCIAS";"";"";"120887";"2016-05-16";"Portaria nº 190/2016 - MEC";""
"2000009";"CIÊNCIAS BIOLÓGICAS";"24795";"RENATA DE FÁTIMA PANOSSO";"ATIVO";"GRADUAÇÃO";"BACHARELADO";"Presencial";"Ciências Biológicas";"Regular";"Matutino, Vespertino e Noturno";"Um ciclo";"NATAL";"Campus Central";"440";"CENTRO DE BIOCIÊNCIAS";"http://www.cb.ufrn.br/conteudo/cursos/biologia/biologia.htm";"1970-02-23";"12332";"2015-12-30";"Portaria nº 1098/2015 - DIREG/MEC";""
"2000011";"CIÊNCIAS CONTÁBEIS";"5752008";"ADRIANA ISABEL BACKES STEPPAN";"ATIVO";"GRADUAÇÃO";"BACHARELADO";"Presencial";"Ciências Sociais Aplicadas";"Regular";"Matutino e Noturno";"Um ciclo";"NATAL";"Campus Central";"443";"CENTRO DE CIÊNCIAS SOCIAIS APLICADAS";"http://sol.ccsa.ufrn.br/ccsa/areas/cont/contabeis/";"1962-09-16";"12312";"2017-04-04";"Portaria nº 272/2017 - MEC";""
"2000012";"CIÊNCIAS CONTÁBEIS";"5752554";"SOCRATES DANTAS LOPES";"ATIVO";"GRADUAÇÃO";"BACHARELADO";"Presencial";"Ciências Sociais Aplicadas";"Regular";"Matutino e Noturno";"Um ciclo";"CAICÓ";"Campus Caicó";"1482";"CENTRO DE  ENSINO SUPERIOR DO SERIDÓ";"";"1979-03-11";"12349";"2017-04-04";"Portaria nº 272/2017 - MEC";""
"2000014";"CIÊNCIAS ECONÔMICAS";"5756922";"JOAO PAULO MARTINS GUEDES";"ATIVO";"GRADUAÇÃO";"BACHARELADO";"Presencial";"Ciências Sociais Aplicadas";"Regular";"Matutino e Noturno";"Um ciclo";"NATAL";"Campus Central";"443";"CENTRO DE CIÊNCIAS SOCIAIS APLICADAS";"http://sol.ccsa.ufrn.br/ccsa/areas/eco/economia/";"1979-06-16";"12314";"2017-04-04";"Portaria nº 272/2017 - MEC";""
"10320810";"CIÊNCIAS E TECNOLOGIA";"5753080";"KALINE MELO DE SOUTO VIANA";"ATIVO";"GRADUAÇÃO";"BACHARELADO";"Presencial";"Ciências Exatas e da Terra";"Regular";"";"Um ciclo";"NATAL";"";"4885";"ESCOLA DE CIÊNCIAS E TECNOLOGIA";"http://www.prograd.ufrn.br";"";"116756";"2014-03-31";"Portaria nº 217/2014 - DIREG/MEC";""
"84903718";"CIÊNCIAS MORFOLÓGICAS APLICADAS A SAÚDE E AO AMBIENTE.";"";"";"ATIVO";"LATO SENSU";"";"Semi-Presencial";"";"";"";"";"";"";"177";"DEPARTAMENTO DE MORFOLOGIA";"";"";"";"";"";""
"111635038";"CIÊNCIAS SOCIAIS";"23125";"IRENE ALVES DE PAIVA";"ATIVO";"GRADUAÇÃO";"LICENCIATURA";"Presencial";"Ciências Humanas";"Regular";"Matutino e Noturno";"Um ciclo";"NATAL";"Campus Central";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"http://www.nexusonline.com.br/ccs/";"1974-09-04";"12315";"2015-12-30";"Portaria nº 1098/2015 - DIREG/MEC";""
"2000015";"CIÊNCIAS SOCIAIS";"5753582";"JULIANA GONCALVES MELO";"ATIVO";"GRADUAÇÃO";"BACHARELADO";"Presencial";"Ciências Humanas";"Regular";"Matutino e Noturno";"Um ciclo";"NATAL";"Campus Central";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"http://www.nexusonline.com.br/ccs/";"1974-09-04";"1113220";"1976-04-02";"DECRETO Nº 77.363";""
"99697792";"CINEMA";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"139";"DEPARTAMENTO DE ARTES";"";"";"";"";"";""
"2163123";"CLINICA MEDICA";"";"";"ATIVO";"RESIDÊNCIA";"";"Presencial";"";"";"";"";"";"";"5285";"COREME - CLÍNICA MÉDICA";"";"";"";"";"";""
"51497566";"COMUNICAÇÃO E EDUCAÇÃO";"";"";"ATIVO";"LATO SENSU";"";"Semi-Presencial";"";"";"";"";"";"";"140";"DEPARTAMENTO DE COMUNICAÇÃO SOCIAL";"";"";"";"";"";""
"2000016";"COMUNICAÇÃO SOCIAL";"25607";"KENIA BEATRIZ FERREIRA MAIA";"ATIVO";"GRADUAÇÃO";"BACHARELADO";"Presencial";"Ciências Humanas";"Regular";"Matutino, Vespertino e Noturno";"Um ciclo";"NATAL";"Campus Central";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"http://www.decom.ufrn.br/";"1963-03-01";"116516";"2013-12-19";"Portaria nº 707/2013 - DIREG/MEC";""
"119512361";"COMUNICAÇÃO SOCIAL - AUDIOVISUAL";"5751833";"MARIA ANGELA PAVAN";"ATIVO";"GRADUAÇÃO";"BACHARELADO";"Presencial";"Ciências Humanas";"Semestral";"";"Um ciclo";"NATAL";"";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"";"";"1364002";"";"";""
"118834827";"COMUNICAÇÃO SOCIAL- PUBLICIDADE E PROPAGANDA";"5757562";"JOSENILDO SOARES BEZERRA";"ATIVO";"GRADUAÇÃO";"BACHARELADO";"Presencial";"Ciências Humanas";"Semestral";"";"Um ciclo";"NATAL";"";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"";"";"116624";"2017-04-04";"Portaria nº 272/2017 - MEC";""
"90334354";"CONSCIÊNCIA CORPORAL";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"199";"DEPARTAMENTO DE EDUCAÇÃO FÍSICA";"";"";"";"";"";""
"128388032";"CONSCIÊNCIA CORPORAL";"22150";"TEREZINHA PETRUCIA DA NOBREGA";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"199";"DEPARTAMENTO DE EDUCAÇÃO FÍSICA";"";"";"";"";"";""
"127344757";"CONTABILIDADE E GESTÃO ELEITORAL";"5752986";"GILMARA MENDES DA COSTA BORGES";"";"LATO SENSU";"";"Semi-Presencial";"";"";"";"";"";"";"395";"PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS CONTÁBEIS";"";"";"";"";"";""
"97732803";"CONTROLADORIA E PLANEJAMENTO TRIBUTÁRIO";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"235";"CERES - DEPTO CIÊNCIAS EXATAS E APLICADAS";"";"";"";"";"";""
"85078961";"CONTROLADORIA GOVERNAMENTAL";"";"";"ATIVO";"LATO SENSU";"";"Semi-Presencial";"";"";"";"";"";"";"163";"DEPARTAMENTO DE CIÊNCIAS CONTÁBEIS - DCC";"";"";"";"";"";""
"92587939";"COORDENAÇÃO PEDAGÓGICA";"";"";"ATIVO";"LATO SENSU";"";"A Distância";"";"";"";"";"";"";"363";"PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO";"";"";"";"";"";""
"121637007";"CUIDADOS E PRÁTICAS INTEGRATIVAS EM SAÚDE";"5753559";"MERCIA MARIA DE SANTI ESTACIO";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"205";"ESCOLA DE SAÚDE";"";"";"";"";"";""
"123907274";"CURRÍCULO E PRÁTICAS NA EDUCAÇÃO INFANTIL";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"1452";"NÚCLEO DE EDUCAÇÃO DA INFÂNCIA";"";"";"";"";"";""
"88752182";"CURSO BÁSICO";"";"";"ATIVO";"FORMAÇÃO COMPLEMENTAR";"";"Presencial";"";"";"";"";"NATAL";"";"284";"ESCOLA DE MÚSICA";"";"";"";"";"";""
"51003665";"CURSO DE APERFEIÇOAMENTO EM ENDOCRINOLOGIA PEDIÁTRICA";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"193";"DEPARTAMENTO DE PEDIATRIA";"";"";"";"";"";""
"6633740";"CURSO DE APERFEIÇOAMENTO EM ENDOCRINOLOGIA PEDIÁTRICA";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"NATAL";"";"193";"DEPARTAMENTO DE PEDIATRIA";"";"";"";"";"";""
"115828700";"CURSO DE APERFEIÇOAMENTO SOBRE GESTÃO DA POLÍTICA EM DST, AIDS, HEPATITES VIRAIS";"";"";"";"LATO SENSU";"";"A Distância";"";"";"";"";"";"";"409";"NÚCLEO DE ESTUDOS EM SAÚDE COLETIVA";"";"";"";"";"";""
"87094038";"CURSO DE CONVERSAÇÃO EM LÍNGUA ALEMÃ";"";"";"ATIVO";"FORMAÇÃO COMPLEMENTAR";"";"Presencial";"";"";"";"";"NATAL";"";"6042";"INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS";"";"";"";"";"";""
"87093989";"CURSO DE CONVERSAÇÃO EM LÍNGUA ESPANHOLA";"";"";"ATIVO";"FORMAÇÃO COMPLEMENTAR";"";"Presencial";"";"";"";"";"NATAL";"";"6042";"INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS";"";"";"";"";"";""
"86980267";"CURSO DE CONVERSAÇÃO EM LÍNGUA FRANCESA";"";"";"ATIVO";"FORMAÇÃO COMPLEMENTAR";"";"Presencial";"";"";"";"";"NATAL";"";"6042";"INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS";"";"";"";"";"";""
"87093970";"CURSO DE CONVERSAÇÃO EM LÍNGUA INGLESA";"";"";"ATIVO";"FORMAÇÃO COMPLEMENTAR";"";"Presencial";"";"";"";"";"NATAL";"";"6042";"INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS";"";"";"";"";"";""
"86981390";"Curso de Conversação em Língua Japonesa";"";"";"ATIVO";"FORMAÇÃO COMPLEMENTAR";"";"Presencial";"";"";"";"";"NATAL";"";"6042";"INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS";"";"";"";"";"";""
"87093990";"CURSO DE CONVERSAÇÃO EM LÍNGUA PORTUGUESA PARA ESTRANGEIROS";"";"";"ATIVO";"FORMAÇÃO COMPLEMENTAR";"";"Presencial";"";"";"";"";"NATAL";"";"6042";"INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS";"";"";"";"";"";""
"4711440";"CURSO DE  ESPECIALIZAÇÃO EM ADMINISTRAÇÃO PÚBLICA";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"NATAL";"";"3202";"FUNPEC/PPGAD";"";"";"";"";"";""
"3161570";"CURSO DE ESPECIALIZAÇÃO EM ANÁLISES CLÍNICAS";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"NATAL";"";"117";"DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS";"";"";"";"";"";""
